frequency_hz,frequency_ghz,S21_model_real,S21_model_imag,S21_model_mag
5758000000.0,5.758,-0.12541212013024006,0.08277494373761773,0.15026606798052428
5760000000.0,5.76,-0.12458698080592331,0.08261194485464876,0.1494879567691091
5762000000.0,5.762,-0.12377181528801763,0.08244886158211659,0.14871878508069578
5764000000.0,5.764,-0.12296644984235186,0.08228573366642941,0.14795840547888517
5766000000.0,5.766,-0.12217071455024132,0.08212259905766005,0.14720667365884513
5768000000.0,5.768,-0.12138444321002645,0.08195949398497479,0.14646344836743827
5770000000.0,5.77,-0.1206074732414348,0.08179645302874668,0.14572859132568108
5772000000.0,5.772,-0.11983964559267762,0.08163350918950883,0.14500196715345692
5774000000.0,5.774,-0.11908080465019613,0.08147069395389497,0.14428344329640666
5776000000.0,5.776,-0.11833079815098589,0.08130803735770963,0.14357288995493567
5778000000.0,5.778,-0.1175894770974157,0.08114556804626032,0.14287018001526391
5780000000.0,5.78,-0.11685669567447124,0.08098331333207977,0.1421751889824585
5781999999.999999,5.781999999999999,-0.11613231116934342,0.08082129925015752,0.1414877949153803
5784000000.000001,5.784000000000001,-0.11541618389329729,0.0806595506107967,0.14080787836348893
5786000000.0,5.786,-0.11470817710575676,0.0804980910502062,0.14013532230545211
5787999999.999999,5.787999999999999,-0.11400815694052091,0.08033694307892791,0.13947001208948592
5789999999.999999,5.789999999999999,-0.11331599233406714,0.08017612812820193,0.13881183537538944
5792000000.0,5.792,-0.11263155495587138,0.08001566659436225,0.13816068207821505
5794000000.0,5.794,-0.11195471914067802,0.07985557788135028,0.13751644431351656
5795999999.999999,5.795999999999999,-0.11128536182266885,0.07969588044143334,0.1368790163441335
5798000000.0,5.798,-0.11062336247146938,0.07953659181420755,0.13624829452845993
5800000000.0,5.8,-0.10996860302994553,0.07937772866396434,0.13562417727015963
5802000000.0,5.802,-0.10932096785371806,0.079219306815489,0.1350065649692645
5803999999.999999,5.803999999999999,-0.10868034365236502,0.07906134128836648,0.13439535997463498
5806000000.0,5.806,-0.10804661943224653,0.07890384632985706,0.1337904665377261
